API log file 
Start date 1970-01-01 00:00:22 
Logging level 15


1970-01-01 00:00:22: MESSAGE:ads8_LogFileOpen: device index 0

1970-01-01 00:00:22: API_LOG:adi_adrv9025_HwReset(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_SpiVerify(...)
1970-01-01 00:00:22: API_LOG:adi_common_ErrorClear(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_PreMcsInit_v2(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_Initialize(...)
1970-01-01 00:00:22: API_LOG:adrv9025_MasterBiasSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_PadConfigsSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_ProfilesVerify(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_TxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_TxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_RxFirWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageLoad(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_StreamImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageLoad(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_CpuStackPtrWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_CpuBootAddrWrite(...)
