(ID,name,mode,var_type,coefficient,len,V0,min integer,max integer,pro integer);
("0x00000002","Device Manufacturer Code","RO","uint1",1,1,30,0,255,2);
("0x00000003","Device Category","RO","uint2",1,2,230,0,65535,2);
("0x00000004","Device Model","RO","str",1,20,0,0,0,2);
("0x00000005","Device Production Serial Number","RO","str",1,20,"YD",0,0,2);
("0x00000006","Actual Carrier Count of Device","RO","uint1",1,1,16,0,255,2);
("0x00000007","Longitude","RO","str",1,20,"E103.12345678",0,255,2);
("0x00000008","Latitude","RO","str",1,20,"N23.12345678",0,255,2);
("0x0000000A","Current Monitoring Software Version","RO","str",1,20,0,0,255,2);
("0x00000010","Embedded Software Operating Mode","RO","uint1",1,1,0,0,255,2);
("0x00000011","Maximum Length of AP:C Protocol","RO","uint2",1,2,300,0,255,2);
("0x00000012","Interaction Mechanism of MCP:B","RO","uint1",1,1,0,0,255,2);
("0x00000013","Continuous Transmission Factor (NC)","RO","uint1",1,1,1,0,255,2);
("0x00000014","Device Response Timeout (TOT1)","RO","uint1",1,1,2,0,255,2);
("0x00000015","Sending Interval Time (TG)","RO","uint2",1,2,1,0,255,2);
("0x00000016","Transmission Pause Waiting Time (TP)","RO","uint1",1,1,1,0,255,2);
("0x00000017","Monitoring Mode - Upgrade Mode Conversion Time","RO","uint2",1,2,5,0,255,2);
("0x00000018","Software Remote Upgrade Result","RO","uint1",1,1,0,0,255,2);
("0x00000020","Device Remote Upgrade Mode","RO","uint1",1,1,1,0,255,2);
("0x00000021","FPGA Version Information","RO","str",1,20,0,0,255,2);
("0x00000023","Device Location Information","RO","str",1,20,"0",0,255,2);
("0x00000030","Optical Transceiver Fault Alarm 1 Enable","RW","bit",1,1,1,0,255,2);
("0x00000031","Optical Transceiver Fault Alarm 2 Enable","RW","bit",1,1,1,0,255,2);
("0x0000005C","Optical Transceiver Fault Alarm 1","RW","bit",1,1,0,0,255,6);
("0x0000005D","Optical Transceiver Fault Alarm 2","RW","bit",1,1,0,0,255,6);
("0x00000141","Report type","RO","uint1",1,1,0,0,0,2);
("0x00000101","Site number","RW","uint4",1,4,0,0,255,3);
("0x00000102","Device number","RW","uint1",1,1,1,0,0,2);
("0x00000150","Current device time","RW","dstr",1,7,0,0,255,2);
("0x00000201","Power failure alarm enable","RW","bit",1,1,1,0,255,2);
("0x00000202","Power fault alarm enable","RW","bit",1,1,1,0,255,2);
("0x00000204","Monitoring module battery fault alarm enable","RW","bit",1,1,0,0,255,2);
("0x00000205","Location alarm enable","RW","bit",1,1,0,0,255,2);
("0x00000206","Amplifier overtemperature alarm enable","RW","bit",1,1,0,0,255,2);
("0x00000209","Local oscillator unlocking alarm enable","RW","bit",1,1,0,0,255,2);
("0x00000220","External alarm enable 1","RW","bit",1,1,1,0,255,2);
("0x00000221","External alarm enable 2","RW","bit",1,1,1,0,255,2);
("0x00000222","External alarm enable 3","RW","bit",1,1,1,0,255,2);
("0x00000223","External alarm enable 4","RW","bit",1,1,1,0,255,2);
("0x00000224","External alarm enable 5","RW","bit",1,1,1,0,255,2);
("0x00000225","External alarm enable 6","RW","bit",1,1,1,0,255,2);
("0x00000290","Digital signal abnormal alarm enable","RW","bit",1,1,0,0,255,2);
("0x00000301","Power failure alarm","RW","bit",1,1,0,0,255,7);
("0x00000302","Power fault alarm","RW","bit",1,1,0,0,255,7);
("0x00000304", "Monitoring module battery fault alarm", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000305", "Location alarm", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000306", "Amplifier overtemperature alarm", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000309", "Local oscillator out-of-lock alarm", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000320", "External alarm 1", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000321", "External alarm 2", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000322", "External alarm 3", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000323", "External alarm 4", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000324", "External alarm 5", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000325", "External alarm 6", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000390", "Digital signal abnormal alarm", "RW", "bit", 1, 1, 0, 0, 255, 6);
("0x00000450", "Downlink VSWR threshold", "RW", "uint1", 10, 1, 85, 0, 255, 2);
("0x00000451", "Amplifier overtemperature alarm threshold", "RW", "uint1", 1, 1, 85, 0, 255, 2);
("0x00000501", "Amplifier temperature value", "RW", "sint1", 1, 1, 0, 0, 255, 2);
("0x00000601", "Batch acquisition start time", "RW", "dstr", 1, 7, 0, 0, 255, 10);
("0x00000602", "Batch acquisition duration", "RW", "uint2", 1, 2, 0, 0, 0, 10);
("0x00000603", "Batch acquisition object", "RW", "uint4", 1, 4, 0, 0, 255, 10);
("0x00000604", "Batch acquisition switch", "RW", "bit", 1, 1, 0, 0, 255, 10);
("0x00000605", "Batch acquisition status", "RW", "uint1", 1, 1, 0, 0, 3, 10);
("0x00000607", "Batch acquisition length per group", "RW", "uint1", 1, 1, 132, 0, 3, 10);
("0x00000873","Device routing registration address","RW","dstr",1,4,"0",0,255,2);
("0x00800051","Power Failure and Power Failure Detection Switch","RW","uint1",1,1,1,0,0,0);
("0x008003A0","Power Amplifier ALC Alarm","RW","bit",1,1,0,0,255,0);
("0x00800401","Remote RF Signal Switch Status","RW","bit",1,1,1,0,255,0);
